"","State","cause","y1","y2","y3","y4","mortality"
"1","U.S.","C1",712.1,706.1,660.1,614.7,2693
"2","Alabama","C1",345.5,364,340.8,315.3,1365.6
"3","Alaska","C1",1100,1156.4,1124.3,1162.6,4543.3
"4","Arizona","C1",986.7,935.9,855.7,867.9,3646.2
"5","Arkansas","C1",362.6,436.7,454.3,364.2,1617.8
"6","California","C1",434.9,431.9,401.8,363.1,1631.7
"7","Colorado","C1",525.2,511.3,486.6,450.5,1973.6
"8","Connecticut","C1",604.4,513.9,319.1,213.2,1650.6
"9","Delaware","C1",587.2,510.9,576.6,402.6,2077.3
"10","District of Columbia","C1",NA,325.7,NA,NA,325.7
"11","Florida","C1",368.3,371.3,322.8,300.7,1363.1
"12","Georgia","C1",683.1,939.2,305.1,185.1,2112.5
"13","Hawaii","C1",1650.1,683.8,519.5,804.2,3657.6
"14","Idaho","C1",985.4,1029,801.6,798.5,3614.5
"15","Illinois","C1",274.3,258.1,249,177.1,958.5
"16","Indiana","C1",257.5,234.1,168.4,162.8,822.8
"17","Iowa","C1",654.3,838,738.8,719.7,2950.8
"18","Kansas","C1",893.6,1028.5,1282.6,1157,4361.7
"19","Kentucky","C1",261.4,236.2,221.5,290.8,1009.9
"20","Louisiana","C1",393.7,406.6,383.2,439.3,1622.8
"21","Maine","C1",1552,1554.1,1209.9,1070.5,5386.5
"22","Maryland","C1",713.4,529.6,327.4,180,1750.4
"23","Massachusetts","C1",323.5,393.2,313.8,240.4,1270.9
"24","Michigan","C1",1139.1,998.4,934.1,851.5,3923.1
"25","Minnesota","C1",1249.3,1190,1074.1,1074.5,4587.9
"26","Mississippi","C1",939.4,824.5,812.8,783.2,3359.9
"27","Missouri","C1",451.8,463,470.3,409.8,1794.9
"28","Montana","C1",1293.2,1276.6,1271.9,1172.2,5013.9
"29","Nebraska","C1",1290.7,1212.7,1028.5,881.5,4413.4
"30","Nevada","C1",704.2,759.3,678.9,570.4,2712.8
"31","New Hampshire","C1",852.4,NA,NA,NA,852.4
"32","New Jersey","C1",297.4,420.4,269.8,206.4,1194
"33","New Mexico","C1",861.6,838.6,810.7,789.7,3300.6
"34","New York","C1",272.9,279.6,238.8,192.1,983.4
"35","North Carolina","C1",962.4,941.5,836,781,3520.9
"36","North Dakota","C1",1385.2,1352.5,1417.2,1364.4,5519.3
"37","Ohio","C1",296.7,214.6,283.7,268.5,1063.5
"38","Oklahoma","C1",830.1,942.1,994.4,987.6,3754.2
"39","Oregon","C1",924.5,867.5,793.5,679.5,3265
"40","Pennsylvania","C1",326.3,286.3,204.9,236.7,1054.2
"41","Rhode Island","C1",663.2,628.6,596.4,549.3,2437.5
"42","South Carolina","C1",362.3,427.5,496.8,457.4,1744
"43","South Dakota","C1",1431.3,1519.9,1342.3,1278.9,5572.4
"44","Tennessee","C1",280.3,299.1,311.7,253.7,1144.8
"45","Texas","C1",186.6,186.5,233.6,156.7,763.4
"46","Utah","C1",837.9,848.4,829.1,752.6,3268
"47","Vermont","C1",NA,NA,498,341,839
"48","Virginia","C1",313.5,319.7,318.2,387.3,1338.7
"49","Washington","C1",983.8,976.3,953.2,901.7,3815
"50","West Virginia","C1",NA,NA,263.8,361.1,624.9
"51","Wisconsin","C1",989.7,1154.5,1107.6,985.9,4237.7
"52","Wyoming","C1",1332.2,1030.6,1147.6,1093.8,4604.2
"53","U.S.","C2",131.9,129.1,124.8,115.4,501.2
"54","Alabama","C2",85.1,73.8,76.2,61.1,296.2
"55","Alaska","C2",241.7,241.3,242.6,242.1,967.7
